t,event,seq,cwnd,srtt_ms,rto_ms,bytes_acked,info
0.000306,SEND,0,4.000,,200.000,0,
0.000391,SEND,1,4.000,,200.000,0,
0.000467,SEND,2,4.000,,200.000,0,
0.000540,SEND,3,4.000,,200.000,0,
0.000545,STATS,-1,4.000,,200.000,0,base=0 next=4
0.052284,ACK,1,4.250,,,1024,"cum ack, base->1"
0.052318,ACK,2,4.485,,,2048,"cum ack, base->2"
0.052339,ACK,3,4.708,,,3072,"cum ack, base->3"
0.052355,ACK,4,4.921,,,4096,"cum ack, base->4"
0.054837,SEND,4,4.921,,200.000,4096,
0.054936,SEND,5,4.921,,200.000,4096,
0.055030,SEND,6,4.921,,200.000,4096,
0.055125,SEND,7,4.921,,200.000,4096,
0.100502,ACK,5,5.124,,,5120,"cum ack, base->5"
0.103485,SEND,8,5.124,,200.000,5120,
0.103613,SEND,9,5.124,,200.000,5120,
0.103623,STATS,-1,5.124,,200.000,5120,base=5 next=10
0.105776,ACK,6,5.319,,,6144,"cum ack, base->6"
0.105798,ACK,7,5.507,,,7168,"cum ack, base->7"
0.105816,ACK,8,5.689,,,8192,"cum ack, base->8"
0.106766,SEND,10,5.689,,200.000,8192,
0.106892,SEND,11,5.689,,200.000,8192,
0.107015,SEND,12,5.689,,200.000,8192,
0.148377,ACK,9,5.864,,,9216,"cum ack, base->9"
0.148415,ACK,10,6.035,,,10240,"cum ack, base->10"
0.149373,SEND,13,6.035,,200.000,10240,
0.149563,SEND,14,6.035,,200.000,10240,
0.149778,SEND,15,6.035,,200.000,10240,
0.155996,ACK,11,6.201,,,11264,"cum ack, base->11"
0.156595,ACK,12,6.362,,,12288,"cum ack, base->12"
0.159024,SEND,16,6.362,,200.000,12288,
0.159204,SEND,17,6.362,,200.000,12288,
0.163050,ACK,13,6.519,,,13312,"cum ack, base->13"
0.165479,SEND,18,6.519,,200.000,13312,
0.190938,ACK,14,6.672,,,14336,"cum ack, base->14"
0.190989,ACK,15,6.822,,,15360,"cum ack, base->15"
0.191724,SEND,19,6.822,,200.000,15360,
0.191961,SEND,20,6.822,,200.000,15360,
0.204060,STATS,-1,6.822,,200.000,15360,base=15 next=21
0.210806,NAK,15,6.822,,,15360,
0.210850,FASTRETX,15,6.064,,200.000,15360,nak
0.210957,DUPACK,15,6.064,,,15360,
0.213503,RETX,15,6.064,,200.000,15360,
0.213765,RETX,16,6.064,,200.000,15360,
0.213981,RETX,17,6.064,,200.000,15360,
0.214231,RETX,18,6.064,,200.000,15360,
0.214436,RETX,19,6.064,,200.000,15360,
0.214653,RETX,20,6.064,,200.000,15360,
0.214752,NAK,15,6.064,,,15360,
0.214827,DUPACK,15,6.064,,,15360,
0.214868,NAK,15,6.064,,,15360,
0.214902,DUPACK,15,6.064,,,15360,
0.240741,NAK,15,6.064,,,15360,
0.241324,DUPACK,15,6.064,,,15360,
0.241377,NAK,15,6.064,,,15360,
0.241420,DUPACK,15,6.064,,,15360,
0.258673,ACK,16,6.229,,,16384,"cum ack, base->16"
0.258766,ACK,17,6.390,,,17408,"cum ack, base->17"
0.259525,ACK,18,6.546,,,18432,"cum ack, base->18"
0.261677,SEND,21,6.546,,200.000,18432,
0.261941,SEND,22,6.546,,200.000,18432,
0.262197,SEND,23,6.546,,200.000,18432,
0.262688,ACK,19,6.699,,,19456,"cum ack, base->19"
0.262780,ACK,20,6.848,,,20480,"cum ack, base->20"
0.262853,ACK,21,6.994,,,21504,"cum ack, base->21"
0.265633,SEND,24,6.994,,200.000,21504,
0.266021,SEND,25,6.994,,200.000,21504,
0.266373,SEND,26,6.994,,200.000,21504,
0.309907,STATS,-1,6.994,,200.000,21504,base=21 next=27
0.313128,ACK,22,7.137,,,22528,"cum ack, base->22"
0.313532,SEND,27,7.137,,200.000,22528,
0.313805,SEND,28,7.137,,200.000,22528,
0.313866,ACK,23,7.277,,,23552,"cum ack, base->23"
0.313973,ACK,24,7.415,,,24576,"cum ack, base->24"
0.314035,ACK,25,7.550,,,25600,"cum ack, base->25"
0.314086,ACK,26,7.682,,,26624,"cum ack, base->26"
0.314138,ACK,27,7.812,,,27648,"cum ack, base->27"
0.317231,SEND,29,7.812,,200.000,27648,
0.317599,SEND,30,7.812,,200.000,27648,
0.317959,SEND,31,7.812,,200.000,27648,
0.318343,SEND,32,7.812,,200.000,27648,
0.318697,SEND,33,7.812,,200.000,27648,
0.368971,ACK,28,7.940,,,28672,"cum ack, base->28"
0.369095,ACK,29,8.066,,,29696,"cum ack, base->29"
0.369170,ACK,30,8.190,,,30720,"cum ack, base->30"
0.369239,ACK,31,8.312,,,31744,"cum ack, base->31"
0.369314,ACK,32,8.433,,,32768,"cum ack, base->32"
0.369390,ACK,33,8.551,,,33792,"cum ack, base->33"
0.369479,ACK,34,8.668,,,34816,"cum ack, base->34"
0.372229,SEND,34,8.668,,200.000,34816,
0.372706,SEND,35,8.668,,200.000,34816,
0.373119,SEND,36,8.668,,200.000,34816,
0.373398,SEND,37,8.668,,200.000,34816,
0.373661,SEND,38,8.668,,200.000,34816,
0.373941,SEND,39,8.668,,200.000,34816,
0.374204,SEND,40,8.668,,200.000,34816,
0.374491,SEND,41,8.668,,200.000,34816,
0.412407,STATS,-1,8.668,,200.000,34816,base=34 next=42
0.434055,ACK,35,8.784,,,35840,"cum ack, base->35"
0.434173,ACK,36,8.897,,,36864,"cum ack, base->36"
0.434244,ACK,37,9.010,,,37888,"cum ack, base->37"
0.434312,ACK,38,9.121,,,38912,"cum ack, base->38"
0.434380,ACK,39,9.230,,,39936,"cum ack, base->39"
0.434446,ACK,40,9.339,,,40960,"cum ack, base->40"
0.434509,ACK,41,9.446,,,41984,"cum ack, base->41"
0.434570,ACK,42,9.552,,,43008,"cum ack, base->42"
0.436923,SEND,42,9.552,,200.000,43008,
0.437203,SEND,43,9.552,,200.000,43008,
0.437467,SEND,44,9.552,,200.000,43008,
0.437725,SEND,45,9.552,,200.000,43008,
0.437995,SEND,46,9.552,,200.000,43008,
0.438683,SEND,47,9.552,,200.000,43008,
0.439060,SEND,48,9.552,,200.000,43008,
0.439374,SEND,49,9.552,,200.000,43008,
0.439646,SEND,50,9.552,,200.000,43008,
0.482603,ACK,43,9.656,,,44032,"cum ack, base->43"
0.482718,ACK,44,9.760,,,45056,"cum ack, base->44"
0.482795,ACK,45,9.862,,,46080,"cum ack, base->45"
0.485503,SEND,51,9.862,,200.000,46080,
0.485877,SEND,52,9.862,,200.000,46080,
0.486237,SEND,53,9.862,,200.000,46080,
0.489146,ACK,46,9.964,,,47104,"cum ack, base->46"
0.489278,ACK,47,10.064,,,48128,"cum ack, base->47"
0.489646,ACK,48,10.164,,,49152,"cum ack, base->48"
0.489989,SEND,54,10.164,,200.000,49152,
0.490263,SEND,55,10.164,,200.000,49152,
0.493137,SEND,56,10.164,,200.000,49152,
0.493435,SEND,57,10.164,,200.000,49152,
0.493705,ACK,49,10.262,,,50176,"cum ack, base->49"
0.493826,ACK,50,10.359,,,51200,"cum ack, base->50"
0.493874,ACK,51,10.456,,,52224,"cum ack, base->51"
0.496416,SEND,58,10.456,,200.000,52224,
0.496653,SEND,59,10.456,,200.000,52224,
