t,event,seq,cwnd,srtt_ms,rto_ms,bytes_acked,info
0.642157,DELIVER,0,,,,1024,
0.643125,DELIVER,1,,,,2048,
0.643231,DELIVER,2,,,,3072,
0.643324,DELIVER,3,,,,4096,
0.696609,DELIVER,4,,,,5120,
0.701082,DELIVER,5,,,,6144,
0.701207,DELIVER,6,,,,7168,
0.701328,DELIVER,7,,,,8192,
0.742506,DELIVER,8,,,,9216,
0.742682,DELIVER,9,,,,10240,
0.756452,DELIVER,10,,,,11264,
0.756622,DELIVER,11,,,,12288,
0.756786,DELIVER,12,,,,13312,
0.786674,DELIVER,13,,,,14336,
0.786938,DELIVER,14,,,,15360,
0.808877,GAP,16,,,,15360,expected 15
0.809262,GAP,17,,,,15360,expected 15
0.810748,GAP,18,,,,15360,expected 15
0.835128,GAP,19,,,,15360,expected 15
0.837012,GAP,20,,,,15360,expected 15
0.856235,DELIVER,15,,,,16384,
0.856873,DELIVER,16,,,,17408,
0.859844,DELIVER,17,,,,18432,
0.860477,DELIVER,18,,,,19456,
0.860905,DELIVER,19,,,,20480,
0.861233,DELIVER,20,,,,21504,
0.906086,DELIVER,21,,,,22528,
0.906453,DELIVER,22,,,,23552,
0.906729,DELIVER,23,,,,24576,
0.911756,DELIVER,24,,,,25600,
0.912199,DELIVER,25,,,,26624,
0.912828,DELIVER,26,,,,27648,
0.962890,DELIVER,27,,,,28672,
0.963300,DELIVER,28,,,,29696,
0.963668,DELIVER,29,,,,30720,
0.964032,DELIVER,30,,,,31744,
0.964476,DELIVER,31,,,,32768,
0.964942,DELIVER,32,,,,33792,
0.965421,DELIVER,33,,,,34816,
1.025884,DELIVER,34,,,,35840,
1.026477,DELIVER,35,,,,36864,
1.026973,DELIVER,36,,,,37888,
1.027436,DELIVER,37,,,,38912,
1.027782,DELIVER,38,,,,39936,
1.028221,DELIVER,39,,,,40960,
1.028579,DELIVER,40,,,,41984,
1.028919,DELIVER,41,,,,43008,
1.079602,DELIVER,42,,,,44032,
1.079884,DELIVER,43,,,,45056,
1.082868,DELIVER,44,,,,46080,
1.083397,DELIVER,45,,,,47104,
1.083863,DELIVER,46,,,,48128,
1.084328,DELIVER,47,,,,49152,
1.084823,DELIVER,48,,,,50176,
1.085290,DELIVER,49,,,,51200,
1.085719,DELIVER,50,,,,52224,
1.128161,DELIVER,51,,,,53248,
1.128623,DELIVER,52,,,,54272,
1.129059,DELIVER,53,,,,55296,
1.130400,DELIVER,54,,,,56320,
1.132322,DELIVER,55,,,,57344,
1.132582,DELIVER,56,,,,58368,
1.137764,DELIVER,57,,,,59392,
1.143737,DELIVER,58,,,,60416,
1.144180,DELIVER,59,,,,61440,
1.144627,DELIVER,60,,,,62464,
1.186451,DELIVER,61,,,,63488,
1.187039,DELIVER,62,,,,64512,
1.187522,GAP,64,,,,64512,expected 63
1.187930,GAP,65,,,,64512,expected 63
1.188295,GAP,66,,,,64512,expected 63
1.188652,GAP,67,,,,64512,expected 63
1.190384,GAP,68,,,,64512,expected 63
1.192743,GAP,69,,,,64512,expected 63
1.194680,GAP,70,,,,64512,expected 63
1.197447,GAP,71,,,,64512,expected 63
1.243792,GAP,72,,,,64512,expected 63
1.244438,DELIVER,63,,,,65536,
1.244894,DELIVER,64,,,,66560,
1.245266,DELIVER,65,,,,67584,
1.245780,DELIVER,66,,,,68608,
1.246172,DELIVER,67,,,,69632,
1.246521,DELIVER,68,,,,70656,
1.246850,DELIVER,69,,,,71680,
1.247118,DELIVER,70,,,,72704,
1.247381,DELIVER,71,,,,73728,
1.247635,DELIVER,72,,,,74752,
1.294544,DELIVER,73,,,,75776,
1.295271,DELIVER,74,,,,76800,
1.295818,DELIVER,75,,,,77824,
1.296303,DELIVER,76,,,,78848,
1.296812,DELIVER,77,,,,79872,
1.297205,DELIVER,78,,,,80896,
1.297559,DELIVER,79,,,,81920,
1.300712,DELIVER,80,,,,82944,
1.301104,DELIVER,81,,,,83968,
1.301435,DELIVER,82,,,,84992,
1.301764,DELIVER,83,,,,86016,
1.350598,DELIVER,84,,,,87040,
1.351214,DELIVER,85,,,,88064,
1.351692,DELIVER,86,,,,89088,
1.352144,DELIVER,87,,,,90112,
1.352594,DELIVER,88,,,,91136,
1.353021,DELIVER,89,,,,92160,
1.353453,DELIVER,90,,,,93184,
1.353823,DELIVER,91,,,,94208,
1.354178,DELIVER,92,,,,95232,
1.354516,DELIVER,93,,,,96256,
1.354861,DELIVER,94,,,,97280,
1.355188,DELIVER,95,,,,98304,
1.415098,DELIVER,96,,,,99328,
1.415387,DELIVER,97,,,,100352,
1.415619,DELIVER,98,,,,101376,
1.415841,DELIVER,99,,,,102400,
1.416184,DELIVER,100,,,,103424,
1.416446,DELIVER,101,,,,104448,
1.416679,DELIVER,102,,,,105472,
1.416895,DELIVER,103,,,,106496,
1.417235,DELIVER,104,,,,107520,
1.417637,DELIVER,105,,,,108544,
1.417941,DELIVER,106,,,,109568,
1.418224,DELIVER,107,,,,110592,
1.418480,DELIVER,108,,,,111616,
1.477787,DELIVER,109,,,,112640,
1.478544,DELIVER,110,,,,113664,
1.479085,DELIVER,111,,,,114688,
1.479646,DELIVER,112,,,,115712,
1.480129,DELIVER,113,,,,116736,
1.480627,DELIVER,114,,,,117760,
1.481008,DELIVER,115,,,,118784,
1.481346,DELIVER,116,,,,119808,
1.481679,DELIVER,117,,,,120832,
1.482021,DELIVER,118,,,,121856,
1.482367,DELIVER,119,,,,122880,
1.482722,DELIVER,120,,,,123904,
1.483052,DELIVER,121,,,,124928,
1.483305,DELIVER,122,,,,125952,
1.517401,DELIVER,123,,,,126976,
1.525666,DELIVER,124,,,,128000,
1.526221,DELIVER,125,,,,129024,
1.526601,DELIVER,126,,,,130048,
1.526942,DELIVER,127,,,,131072,
1.528904,DELIVER,128,,,,132096,
1.529270,DELIVER,129,,,,133120,
1.529711,DELIVER,130,,,,134144,
1.530060,DELIVER,131,,,,135168,
1.530399,DELIVER,132,,,,136192,
1.531521,DELIVER,133,,,,137216,
1.531867,DELIVER,134,,,,138240,
1.532199,DELIVER,135,,,,139264,
1.532533,DELIVER,136,,,,140288,
1.537440,DELIVER,137,,,,141312,
1.556708,DELIVER,138,,,,142336,
1.576850,DELIVER,139,,,,143360,
1.577281,DELIVER,140,,,,144384,
1.577653,DELIVER,141,,,,145408,
1.577997,DELIVER,142,,,,146432,
1.578328,DELIVER,143,,,,147456,
1.578899,DELIVER,144,,,,148480,
1.579256,DELIVER,145,,,,149504,
1.579616,DELIVER,146,,,,150528,
1.579964,DELIVER,147,,,,151552,
1.580291,DELIVER,148,,,,152576,
1.580643,DELIVER,149,,,,153600,
1.580925,DELIVER,150,,,,154624,
1.581182,DELIVER,151,,,,155648,
1.583840,DELIVER,152,,,,156672,
1.607379,DELIVER,153,,,,157696,
1.607816,DELIVER,154,,,,158720,
1.624679,DELIVER,155,,,,159744,
1.631715,DELIVER,156,,,,160768,
1.632248,DELIVER,157,,,,161792,
1.632734,DELIVER,158,,,,162816,
1.633250,DELIVER,159,,,,163840,
1.633745,DELIVER,160,,,,164864,
1.634102,DELIVER,161,,,,165888,
1.634515,DELIVER,162,,,,166912,
1.634861,DELIVER,163,,,,167936,
1.635238,DELIVER,164,,,,168960,
1.635593,DELIVER,165,,,,169984,
1.636685,DELIVER,166,,,,171008,
1.636953,DELIVER,167,,,,172032,
1.637193,DELIVER,168,,,,173056,
1.655843,DELIVER,169,,,,174080,
1.660219,DELIVER,170,,,,175104,
1.672656,GAP,172,,,,175104,expected 171
1.673128,GAP,173,,,,175104,expected 171
1.674869,GAP,174,,,,175104,expected 171
1.681886,GAP,175,,,,175104,expected 171
1.682382,GAP,176,,,,175104,expected 171
1.683248,GAP,177,,,,175104,expected 171
1.683823,GAP,178,,,,175104,expected 171
1.684309,GAP,179,,,,175104,expected 171
1.687827,GAP,180,,,,175104,expected 171
1.688314,GAP,181,,,,175104,expected 171
1.689791,GAP,182,,,,175104,expected 171
1.690298,GAP,183,,,,175104,expected 171
1.690817,GAP,184,,,,175104,expected 171
1.692440,GAP,185,,,,175104,expected 171
1.697640,GAP,186,,,,175104,expected 171
1.704065,GAP,187,,,,175104,expected 171
1.720532,DELIVER,171,,,,176128,
1.720809,DELIVER,172,,,,177152,
1.721106,DELIVER,173,,,,178176,
1.721391,DELIVER,174,,,,179200,
1.721651,DELIVER,175,,,,180224,
1.721933,DELIVER,176,,,,181248,
1.722203,DELIVER,177,,,,182272,
1.722487,DELIVER,178,,,,183296,
1.722760,DELIVER,179,,,,184320,
1.723025,DELIVER,180,,,,185344,
1.723292,DELIVER,181,,,,186368,
1.723582,DELIVER,182,,,,187392,
1.723817,DELIVER,183,,,,188416,
1.724138,DELIVER,184,,,,189440,
1.724449,DELIVER,185,,,,190464,
1.770644,DELIVER,186,,,,191488,
1.771210,DELIVER,187,,,,192512,
1.771673,DELIVER,188,,,,193536,
1.772175,DELIVER,189,,,,194560,
1.772605,DELIVER,190,,,,195584,
1.772962,DELIVER,191,,,,196608,
1.773312,DELIVER,192,,,,197632,
1.773833,DELIVER,193,,,,198656,
1.774172,DELIVER,194,,,,199680,
1.775843,DELIVER,195,,,,200704,
1.776248,DELIVER,196,,,,201728,
1.776535,DELIVER,197,,,,202752,
1.776798,DELIVER,198,,,,203776,
1.780177,DELIVER,199,,,,204800,
1.780481,DELIVER,200,,,,205824,
1.780746,DELIVER,201,,,,206848,
1.816628,DELIVER,202,,,,207872,
1.817133,DELIVER,203,,,,208896,
1.817495,DELIVER,204,,,,209920,
1.820511,DELIVER,205,,,,210944,
1.820925,DELIVER,206,,,,211968,
1.821278,DELIVER,207,,,,212992,
1.821629,DELIVER,208,,,,214016,
1.822207,DELIVER,209,,,,215040,
1.822525,DELIVER,210,,,,216064,
1.822792,DELIVER,211,,,,217088,
1.823074,DELIVER,212,,,,218112,
1.823325,DELIVER,213,,,,219136,
1.823579,DELIVER,214,,,,220160,
1.826861,DELIVER,215,,,,221184,
1.827200,DELIVER,216,,,,222208,
1.827470,DELIVER,217,,,,223232,
1.831369,DELIVER,218,,,,224256,
1.862487,DELIVER,219,,,,225280,
1.862879,DELIVER,220,,,,226304,
1.865712,DELIVER,221,,,,227328,
1.866064,DELIVER,222,,,,228352,
1.866399,DELIVER,223,,,,229376,
1.866835,DELIVER,224,,,,230400,
1.867199,DELIVER,225,,,,231424,
1.868288,DELIVER,226,,,,232448,
1.869325,DELIVER,227,,,,233472,
1.869653,DELIVER,228,,,,234496,
1.873442,DELIVER,229,,,,235520,
1.873780,DELIVER,230,,,,236544,
1.874110,DELIVER,231,,,,237568,
1.875717,DELIVER,232,,,,238592,
1.876305,DELIVER,233,,,,239616,
1.876770,DELIVER,234,,,,240640,
1.877225,DELIVER,235,,,,241664,
1.882382,DELIVER,236,,,,242688,
1.900037,DELIVER,237,,,,243712,
1.900434,DELIVER,238,,,,244736,
1.909346,DELIVER,239,,,,245760,
1.923965,DELIVER,240,,,,246784,
1.924560,DELIVER,241,,,,247808,
1.925725,DELIVER,242,,,,248832,
1.926584,DELIVER,243,,,,249856,
1.926968,DELIVER,244,,,,250880,
1.927316,DELIVER,245,,,,251904,
1.927670,DELIVER,246,,,,252928,
1.927996,DELIVER,247,,,,253952,
1.928343,DELIVER,248,,,,254976,
1.928836,DELIVER,249,,,,256000,
1.929086,DELIVER,250,,,,257024,
1.929340,DELIVER,251,,,,258048,
1.929622,DELIVER,252,,,,259072,
1.929887,DELIVER,253,,,,260096,
1.930156,DELIVER,254,,,,261120,
2.185248,DELIVER,255,,,,262144,
2.252570,FIN,256,,,,262144,"all data received, acking FIN"
