t,event,seq,cwnd,srtt_ms,rto_ms,bytes_acked,info
0.637291,DELIVER,0,,,,1024,
0.647687,DELIVER,1,,,,2048,
0.647794,DELIVER,2,,,,3072,
0.647891,DELIVER,3,,,,4096,
0.694130,DELIVER,4,,,,5120,
0.694263,DELIVER,5,,,,6144,
0.694386,DELIVER,6,,,,7168,
0.700319,DELIVER,7,,,,8192,
0.745034,DELIVER,8,,,,9216,
0.745239,DELIVER,9,,,,10240,
0.745410,DELIVER,10,,,,11264,
0.745576,DELIVER,11,,,,12288,
0.748864,DELIVER,12,,,,13312,
0.792582,DELIVER,13,,,,14336,
0.792838,DELIVER,14,,,,15360,
0.793034,DELIVER,15,,,,16384,
0.793246,DELIVER,16,,,,17408,
0.796835,GAP,18,,,,17408,expected 17
0.829137,GAP,19,,,,17408,expected 17
0.833796,GAP,20,,,,17408,expected 17
0.834954,GAP,21,,,,17408,expected 17
0.837264,GAP,18,,,,17408,expected 17
0.846576,GAP,19,,,,17408,expected 17
0.847343,GAP,20,,,,17408,expected 17
0.847904,GAP,21,,,,17408,expected 17
0.848272,GAP,22,,,,17408,expected 17
1.053425,DELIVER,17,,,,18432,
1.053930,DELIVER,18,,,,19456,
1.054358,GAP,20,,,,19456,expected 19
1.054760,GAP,21,,,,19456,expected 19
1.055139,GAP,22,,,,19456,expected 19
1.107399,DELIVER,19,,,,20480,
1.107754,DELIVER,20,,,,21504,
1.108021,DELIVER,21,,,,22528,
1.108288,DELIVER,22,,,,23552,
1.108555,DELIVER,23,,,,24576,
1.108837,DELIVER,24,,,,25600,
1.167042,DELIVER,25,,,,26624,
1.167640,DELIVER,26,,,,27648,
1.168125,DELIVER,27,,,,28672,
1.168499,DELIVER,28,,,,29696,
1.168868,DELIVER,29,,,,30720,
1.169207,DELIVER,30,,,,31744,
1.169501,DELIVER,31,,,,32768,
1.217905,DELIVER,32,,,,33792,
1.225856,DELIVER,33,,,,34816,
1.226267,DELIVER,34,,,,35840,
1.226616,DELIVER,35,,,,36864,
1.227046,GAP,37,,,,36864,expected 36
1.227426,GAP,38,,,,36864,expected 36
1.227769,GAP,39,,,,36864,expected 36
1.270024,GAP,40,,,,36864,expected 36
1.273848,DELIVER,36,,,,37888,
1.280153,DELIVER,37,,,,38912,
1.280956,DELIVER,38,,,,39936,
1.281462,DELIVER,39,,,,40960,
1.281942,DELIVER,40,,,,41984,
1.282362,DELIVER,41,,,,43008,
1.282689,DELIVER,42,,,,44032,
1.314921,DELIVER,43,,,,45056,
1.329829,DELIVER,44,,,,46080,
1.330392,DELIVER,45,,,,47104,
1.330870,DELIVER,46,,,,48128,
1.331280,DELIVER,47,,,,49152,
1.331656,DELIVER,48,,,,50176,
1.331958,DELIVER,49,,,,51200,
1.332291,DELIVER,50,,,,52224,
1.355007,DELIVER,51,,,,53248,
1.386169,GAP,53,,,,53248,expected 52
1.386687,GAP,54,,,,53248,expected 52
1.387115,GAP,55,,,,53248,expected 52
1.387474,GAP,56,,,,53248,expected 52
1.387816,GAP,57,,,,53248,expected 52
1.388163,GAP,58,,,,53248,expected 52
1.388443,GAP,59,,,,53248,expected 52
1.437480,DELIVER,52,,,,54272,
1.438062,DELIVER,53,,,,55296,
1.438465,DELIVER,54,,,,56320,
1.438815,DELIVER,55,,,,57344,
1.439203,DELIVER,56,,,,58368,
1.439577,DELIVER,57,,,,59392,
1.439953,DELIVER,58,,,,60416,
1.440274,DELIVER,59,,,,61440,
1.491101,DELIVER,60,,,,62464,
1.491683,DELIVER,61,,,,63488,
1.492207,DELIVER,62,,,,64512,
1.492603,DELIVER,63,,,,65536,
1.495819,DELIVER,64,,,,66560,
1.496245,DELIVER,65,,,,67584,
1.496598,DELIVER,66,,,,68608,
1.496957,GAP,68,,,,68608,expected 67
1.544089,GAP,69,,,,68608,expected 67
1.544836,GAP,70,,,,68608,expected 67
1.545308,GAP,71,,,,68608,expected 67
1.545695,GAP,72,,,,68608,expected 67
1.546170,DELIVER,67,,,,69632,
1.546539,DELIVER,68,,,,70656,
1.546882,DELIVER,69,,,,71680,
1.547217,DELIVER,70,,,,72704,
1.547497,DELIVER,71,,,,73728,
1.547758,DELIVER,72,,,,74752,
1.548006,DELIVER,73,,,,75776,
1.548255,DELIVER,74,,,,76800,
1.548525,DELIVER,75,,,,77824,
