t,event,seq,cwnd,srtt_ms,rto_ms,bytes_acked,info
0.000301,SEND,0,4.000,,200.000,0,
0.000389,SEND,1,4.000,,200.000,0,
0.000467,SEND,2,4.000,,200.000,0,
0.000540,SEND,3,4.000,,200.000,0,
0.000544,STATS,-1,4.000,,200.000,0,base=0 next=4
0.043097,ACK,1,4.250,,,1024,"cum ack, base->1"
0.043314,SEND,4,4.250,,200.000,1024,
0.048512,ACK,2,4.485,,,2048,"cum ack, base->2"
0.048538,ACK,3,4.708,,,3072,"cum ack, base->3"
0.048555,ACK,4,4.921,,,4096,"cum ack, base->4"
0.050964,SEND,5,4.921,,200.000,4096,
0.051068,SEND,6,4.921,,200.000,4096,
0.051165,SEND,7,4.921,,200.000,4096,
0.096700,NAK,4,4.921,,,4096,
0.096723,FASTRETX,4,4.374,,200.000,4096,nak
0.096749,DUPACK,4,4.374,,,4096,
0.096773,NAK,4,4.374,,,4096,
0.099090,RETX,4,4.374,,200.000,4096,
0.099222,RETX,5,4.374,,200.000,4096,
0.099346,RETX,6,4.374,,200.000,4096,
0.099470,RETX,7,4.374,,200.000,4096,
0.102003,STATS,-1,4.374,,200.000,4096,base=4 next=8
0.102120,DUPACK,4,4.374,,,4096,
0.102140,NAK,4,4.374,,,4096,
0.102160,DUPACK,4,4.374,,,4096,
0.143126,ACK,5,4.603,,,5120,"cum ack, base->5"
0.143158,ACK,6,4.820,,,6144,"cum ack, base->6"
0.143184,ACK,8,5.226,,,8192,"cum ack, base->8"
0.144801,SEND,8,5.226,,200.000,8192,
0.144953,SEND,9,5.226,,200.000,8192,
0.145099,SEND,10,5.226,,200.000,8192,
0.145246,SEND,11,5.226,,200.000,8192,
0.145399,SEND,12,5.226,,200.000,8192,
0.182890,ACK,9,5.418,,,9216,"cum ack, base->9"
0.185516,SEND,13,5.418,,200.000,9216,
0.187592,ACK,10,5.602,,,10240,"cum ack, base->10"
0.188234,SEND,14,5.602,,200.000,10240,
0.188904,ACK,11,5.781,,,11264,"cum ack, base->11"
0.188949,ACK,12,5.954,,,12288,"cum ack, base->12"
0.188981,ACK,13,6.122,,,13312,"cum ack, base->13"
0.191023,SEND,15,6.122,,200.000,13312,
0.191245,SEND,16,6.122,,200.000,13312,
0.191449,SEND,17,6.122,,200.000,13312,
0.191652,SEND,18,6.122,,200.000,13312,
0.204268,STATS,-1,6.122,,200.000,13312,base=13 next=19
0.234977,ACK,14,6.285,,,14336,"cum ack, base->14"
0.235321,ACK,15,6.444,,,15360,"cum ack, base->15"
0.235401,ACK,17,6.751,,,17408,"cum ack, base->17"
