proto,loss,rep,seed,integrity_ok,completed,transfer_duration_s,throughput_Mbps,retransmissions,total_packets_sent,retransmission_overhead_pct,timeouts,naks_received,loss_events,cc_decreases,final_cwnd,tag
baseline,0.0,0,100,True,True,1.0633,1.9723,0,256,0.0,0,0,0,0,23.017,baseline_loss0_r0
improved,0.0,0,100,True,True,1.048157,2.0008,0,256,0.0,0,0,0,0,23.017,improved_loss0_r0
baseline,0.0,1,101,True,True,1.057839,1.9825,0,256,0.0,0,0,0,0,23.017,baseline_loss0_r1
improved,0.0,1,101,True,True,1.046829,2.0033,0,256,0.0,0,0,0,0,23.017,improved_loss0_r1
baseline,0.0,2,102,True,True,1.043479,2.0098,0,256,0.0,0,0,0,0,23.017,baseline_loss0_r2
improved,0.0,2,102,True,True,1.053084,1.9914,0,256,0.0,0,0,0,0,23.017,improved_loss0_r2
baseline,0.01,0,100,True,True,1.598789,1.3117,35,291,12.027,1,29,4,4,18.329,baseline_loss1_r0
improved,0.01,0,100,True,True,1.224293,1.7129,11,267,4.12,2,5,12,5,17.712,improved_loss1_r0
baseline,0.01,1,101,True,True,1.259131,1.6656,33,289,11.419,0,29,3,3,20.211,baseline_loss1_r1
improved,0.01,1,101,True,True,1.188616,1.7644,10,266,3.759,3,3,10,4,19.556,improved_loss1_r1
baseline,0.01,2,102,True,True,1.15386,1.8175,9,265,3.396,0,8,1,1,22.432,baseline_loss1_r2
improved,0.01,2,102,True,True,1.170721,1.7913,9,265,3.396,3,1,9,4,20.202,improved_loss1_r2
baseline,0.05,0,100,True,True,2.333633,0.8987,157,413,38.015,2,131,17,8,16.935,baseline_loss5_r0
improved,0.05,0,100,True,True,1.428587,1.468,41,297,13.805,9,15,41,10,16.043,improved_loss5_r0
baseline,0.05,1,101,True,True,2.08182,1.0074,112,368,30.435,0,91,15,12,16.366,baseline_loss5_r1
improved,0.05,1,101,True,True,1.500902,1.3973,41,297,13.805,10,15,43,12,15.277,improved_loss5_r1
baseline,0.05,2,102,True,True,1.502069,1.3962,70,326,21.472,0,54,9,5,17.623,baseline_loss5_r2
improved,0.05,2,102,True,True,1.500043,1.3981,40,296,13.514,18,6,41,11,14.241,improved_loss5_r2
baseline,0.1,0,100,True,True,2.989182,0.7016,196,452,43.363,3,138,24,14,13.155,baseline_loss10_r0
improved,0.1,0,100,True,True,1.82791,1.1473,85,341,24.927,28,31,86,14,14.898,improved_loss10_r0
baseline,0.1,1,101,True,True,2.592681,0.8089,179,435,41.149,0,128,27,18,12.333,baseline_loss10_r1
improved,0.1,1,101,True,True,1.916415,1.0943,72,328,21.951,25,24,75,19,12.339,improved_loss10_r1
baseline,0.1,2,102,True,True,2.469598,0.8492,201,457,43.982,0,126,25,14,13.488,baseline_loss10_r2
improved,0.1,2,102,True,True,1.997729,1.0498,74,330,22.424,29,22,75,15,13.802,improved_loss10_r2
