t,event,seq,cwnd,srtt_ms,rto_ms,bytes_acked,info
0.000350,SEND,0,4.000,,1000.000,0,
0.000444,SEND,1,4.000,,1000.000,0,
0.000528,SEND,2,4.000,,1000.000,0,
0.000607,SEND,3,4.000,,1000.000,0,
0.000615,STATS,-1,4.000,,1000.000,0,base=0 next=4 inflight=4
0.054384,ACK,0,4.250,54.022,162.066,1024,base=1
0.054426,ACK,1,4.485,54.016,135.100,2048,base=2
0.054452,ACK,2,4.708,54.003,114.914,3072,base=3
0.054472,ACK,3,4.921,53.986,99.811,4096,base=4
0.054925,SEND,4,4.921,53.986,99.811,4096,
0.055025,SEND,5,4.921,53.986,99.811,4096,
0.055121,SEND,6,4.921,53.986,99.811,4096,
0.055226,SEND,7,4.921,53.986,99.811,4096,
0.103547,STATS,-1,4.921,53.986,99.811,4096,base=4 next=8 inflight=4
0.106820,ACK,4,5.124,53.722,90.198,5120,base=5
0.106859,ACK,5,5.319,53.486,82.736,6144,base=6
0.106885,ACK,6,5.507,53.270,76.932,7168,base=7
0.106909,ACK,7,5.689,53.071,72.407,8192,base=8
0.109739,SEND,8,5.689,53.071,72.407,8192,
0.109868,SEND,9,5.689,53.071,72.407,8192,
0.109995,SEND,10,5.689,53.071,72.407,8192,
0.110122,SEND,11,5.689,53.071,72.407,8192,
0.110247,SEND,12,5.689,53.071,72.407,8192,
0.165983,ACK,8,5.864,53.466,71.126,9216,base=9
0.166039,ACK,9,6.035,53.803,69.747,10240,base=10
0.166081,ACK,10,6.201,54.088,68.324,11264,base=11
0.166121,ACK,11,6.362,54.326,66.909,12288,base=12
0.166157,ACK,12,6.519,54.524,65.541,13312,base=13
0.167878,SEND,13,6.519,54.524,65.541,13312,
0.168065,SEND,14,6.519,54.524,65.541,13312,
0.168235,SEND,15,6.519,54.524,65.541,13312,
0.168403,SEND,16,6.519,54.524,65.541,13312,
0.168572,SEND,17,6.519,54.524,65.541,13312,
0.168742,SEND,18,6.519,54.524,65.541,13312,
0.205401,STATS,-1,6.519,54.524,65.541,13312,base=13 next=19 inflight=6
0.218014,ACK,13,6.672,53.972,66.653,14336,base=14
0.218190,ACK,14,6.822,53.489,66.860,15360,base=15
0.218263,ACK,16,6.969,53.034,66.703,16384,base=15
0.218354,NAK,15,6.969,,,16384,
0.218900,RETX,15,6.195,53.034,66.703,16384,retx#1
0.219034,ACK,17,6.356,52.710,65.552,17408,base=15
0.219760,ACK,18,6.513,52.496,63.837,18432,base=15
0.220179,RETX,15,6.513,52.496,63.837,18432,retx#2
0.221028,SEND,19,6.513,52.496,63.837,18432,
0.221410,SEND,20,6.513,52.496,63.837,18432,
0.221798,SEND,21,6.513,52.496,63.837,18432,
0.222209,SEND,22,6.513,52.496,63.837,18432,
0.222577,SEND,23,6.513,52.496,63.837,18432,
0.274907,NAK,15,6.513,,,18432,
0.275334,RETX,15,6.513,52.496,63.837,18432,retx#3
0.275548,ACK,15,6.667,52.496,63.837,19456,base=19
0.275610,DUPACK,15,6.667,,,19456,
0.275692,ACK,19,6.817,52.764,63.406,20480,base=20
0.275743,ACK,20,6.964,52.959,62.959,21504,base=21
0.275798,ACK,21,7.107,53.089,63.089,22528,base=22
0.275852,ACK,22,7.248,53.157,63.157,23552,base=23
0.275920,ACK,23,7.386,53.179,63.179,24576,base=24
0.278709,SEND,24,7.386,53.179,63.179,24576,
0.279102,SEND,25,7.386,53.179,63.179,24576,
0.279465,SEND,26,7.386,53.179,63.179,24576,
0.279826,SEND,27,7.386,53.179,63.179,24576,
0.280349,SEND,28,7.386,53.179,63.179,24576,
0.280619,SEND,29,7.386,53.179,63.179,24576,
0.280953,SEND,30,7.386,53.179,63.179,24576,
0.308005,STATS,-1,7.386,53.179,63.179,24576,base=24 next=31 inflight=7
0.320733,DUPACK,15,7.386,,,24576,
0.323275,ACK,24,7.521,52.100,64.633,25600,base=25
0.323315,ACK,25,7.654,51.113,68.405,26624,base=26
0.323697,SEND,31,7.654,51.113,68.405,26624,
0.323889,SEND,32,7.654,51.113,68.405,26624,
0.325657,ACK,26,7.785,50.497,68.396,27648,base=27
0.325740,ACK,27,7.913,49.922,67.942,28672,base=28
0.328780,SEND,33,7.913,49.922,67.942,28672,
0.329214,SEND,34,7.913,49.922,67.942,28672,
0.330848,ACK,28,8.040,49.991,64.054,29696,base=29
0.330962,ACK,29,8.164,50.034,60.924,30720,base=30
0.331023,ACK,30,8.287,50.037,60.037,31744,base=31
0.332652,SEND,35,8.287,50.037,60.037,31744,
0.332926,SEND,36,8.287,50.037,60.037,31744,
0.333189,SEND,37,8.287,50.037,60.037,31744,
0.333447,SEND,38,8.287,50.037,60.037,31744,
0.373495,ACK,31,8.407,50.002,60.002,32768,base=32
0.373617,ACK,32,8.526,49.968,59.968,33792,base=33
0.373697,ACK,33,8.643,49.336,59.336,34816,base=34
0.374274,ACK,34,8.759,48.800,59.748,35840,base=35
0.374370,ACK,35,8.873,47.913,63.218,36864,base=36
0.374445,ACK,36,8.986,47.112,64.996,37888,base=37
0.375760,SEND,39,8.986,47.112,64.996,37888,
0.376132,SEND,40,8.986,47.112,64.996,37888,
0.376516,SEND,41,8.986,47.112,64.996,37888,
0.377196,SEND,42,8.986,47.112,64.996,37888,
0.377632,SEND,43,8.986,47.112,64.996,37888,
0.377943,SEND,44,8.986,47.112,64.996,37888,
0.379251,ACK,37,9.097,46.978,61.465,38912,base=38
0.379331,ACK,38,9.207,46.840,58.808,39936,base=39
0.380933,SEND,45,9.207,46.840,58.808,39936,
0.381208,SEND,46,9.207,46.840,58.808,39936,
0.381481,SEND,47,9.207,46.840,58.808,39936,
0.408276,STATS,-1,9.207,46.840,58.808,39936,base=39 next=48 inflight=9
0.419934,ACK,39,9.316,46.503,58.178,40960,base=40
0.420041,ACK,40,9.423,46.177,57.539,41984,base=41
0.420115,ACK,41,9.529,45.854,56.963,43008,base=42
0.421888,ACK,42,9.634,45.708,55.708,44032,base=43
0.422424,SEND,48,9.634,45.708,55.708,44032,
0.422792,SEND,49,9.634,45.708,55.708,44032,
0.423163,SEND,50,9.634,45.708,55.708,44032,
0.423520,SEND,51,9.634,45.708,55.708,44032,
0.426355,ACK,43,9.738,46.082,56.200,45056,base=44
0.426471,ACK,44,9.841,46.387,56.411,46080,base=45
0.428101,SEND,52,9.841,46.387,56.411,46080,
0.428479,SEND,53,9.841,46.387,56.411,46080,
0.428861,ACK,45,9.942,46.576,56.576,47104,base=46
0.428952,ACK,46,10.043,46.721,56.721,48128,base=47
0.431314,SEND,54,10.043,46.721,56.721,48128,
0.431786,SEND,55,10.043,46.721,56.721,48128,
0.432150,SEND,56,10.043,46.721,56.721,48128,
0.432332,ACK,47,10.143,47.234,57.288,49152,base=48
0.434727,SEND,57,10.143,47.234,57.288,49152,
0.467753,ACK,48,10.241,46.993,56.993,50176,base=49
0.467878,ACK,49,10.339,46.748,56.748,51200,base=50
0.467980,ACK,50,10.435,46.506,56.506,52224,base=51
0.469875,SEND,58,10.435,46.506,56.506,52224,
0.470175,SEND,59,10.435,46.506,56.506,52224,
0.470441,SEND,60,10.435,46.506,56.506,52224,
0.471427,ACK,51,10.531,46.679,56.679,53248,base=52
0.471497,ACK,52,10.626,46.268,56.268,54272,base=53
0.471558,ACK,53,10.720,45.869,55.994,55296,base=54
0.472933,SEND,61,10.720,45.869,55.994,55296,
0.473215,SEND,62,10.720,45.869,55.994,55296,
0.473473,SEND,63,10.720,45.869,55.994,55296,
0.478350,ACK,54,10.814,45.977,55.977,56320,base=55
0.478752,SEND,64,10.814,45.977,55.977,56320,
0.478895,ACK,55,10.906,46.118,56.118,57344,base=56
0.478955,ACK,56,10.998,46.203,56.203,58368,base=57
0.479213,ACK,57,11.089,45.987,55.987,59392,base=58
0.481154,SEND,65,11.089,45.987,55.987,59392,
0.481423,SEND,66,11.089,45.987,55.987,59392,
0.481685,SEND,67,11.089,45.987,55.987,59392,
0.481944,SEND,68,11.089,45.987,55.987,59392,
0.508463,STATS,-1,11.089,45.987,55.987,59392,base=58 next=69 inflight=11
0.514697,ACK,58,11.179,45.838,55.838,60416,base=59
0.516633,SEND,69,11.179,45.838,55.838,60416,
0.520889,ACK,59,11.268,46.444,56.444,61440,base=60
0.520991,ACK,60,11.357,46.956,58.075,62464,base=61
0.521936,ACK,61,11.445,47.209,57.577,63488,base=62
0.522860,SEND,70,11.445,47.209,57.577,63488,
0.523234,SEND,71,11.445,47.209,57.577,63488,
0.523593,SEND,72,11.445,47.209,57.577,63488,
0.525379,ACK,62,11.533,47.826,60.530,64512,base=63
0.525462,ACK,63,11.619,48.344,62.025,65536,base=64
0.526020,SEND,73,11.619,48.344,62.025,65536,
0.526452,SEND,74,11.619,48.344,62.025,65536,
0.529273,ACK,64,11.705,48.613,61.023,66560,base=65
0.530596,SEND,75,11.705,48.613,61.023,66560,
0.532746,ACK,65,11.791,48.983,61.253,67584,base=66
0.532808,ACK,67,11.876,49.250,60.584,68608,base=66
0.532851,NAK,66,11.876,,,68608,
0.533143,RETX,66,10.556,49.250,60.584,68608,retx#1
0.533194,ACK,68,10.651,49.499,59.993,69632,base=66
0.534948,SEND,76,10.651,49.499,59.993,69632,
0.535426,SEND,77,10.651,49.499,59.993,69632,
0.570044,ACK,69,10.745,49.985,61.739,70656,base=66
0.570454,RETX,66,10.745,49.985,61.739,70656,retx#2
0.570614,ACK,70,10.838,49.704,60.764,71680,base=66
0.570708,ACK,71,10.930,49.424,59.960,72704,base=66
0.570782,ACK,72,11.022,49.143,59.290,73728,base=66
0.570855,ACK,73,11.112,48.604,60.531,74752,base=66
0.570923,ACK,74,11.202,48.087,61.167,75776,base=66
0.572171,SEND,78,11.202,48.087,61.167,75776,
0.572600,SEND,79,11.202,48.087,61.167,75776,
0.572972,SEND,80,11.202,48.087,61.167,75776,
