t,event,seq,cwnd,srtt_ms,rto_ms,bytes_acked,info
0.000319,SEND,0,4.000,,1000.000,0,
0.000406,SEND,1,4.000,,1000.000,0,
0.000498,SEND,2,4.000,,1000.000,0,
0.000571,SEND,3,4.000,,1000.000,0,
0.000579,STATS,-1,4.000,,1000.000,0,base=0 next=4 inflight=4
0.044612,ACK,0,4.250,44.282,132.847,1024,base=1
0.044651,ACK,1,4.485,44.277,110.747,2048,base=2
0.044675,ACK,2,4.708,44.263,94.221,3072,base=3
0.044691,ACK,3,4.921,44.245,81.860,4096,base=4
0.045896,SEND,4,4.921,44.245,81.860,4096,
0.045986,SEND,5,4.921,44.245,81.860,4096,
0.046072,SEND,6,4.921,44.245,81.860,4096,
0.046158,SEND,7,4.921,44.245,81.860,4096,
0.093853,ACK,4,5.124,44.708,76.621,5120,base=5
0.095957,ACK,6,5.319,45.354,74.462,6144,base=5
0.095984,NAK,5,5.319,,,6144,
0.096131,RETX,5,4.728,45.354,74.462,6144,retx#1
0.096268,SEND,8,4.728,45.354,74.462,6144,
0.096381,SEND,9,4.728,45.354,74.462,6144,
0.096411,ACK,7,4.940,45.966,72.689,7168,base=5
0.099018,SEND,10,4.940,45.966,72.689,7168,
0.101545,STATS,-1,4.940,45.966,72.689,7168,base=5 next=11 inflight=4
0.135415,ACK,8,5.142,45.113,71.981,8192,base=5
0.135587,RETX,5,5.142,45.113,71.981,8192,retx#2
0.136918,SEND,11,5.142,45.113,71.981,8192,
0.137068,SEND,12,5.142,45.113,71.981,8192,
0.144602,ACK,9,5.336,45.500,68.749,9216,base=5
0.144644,ACK,10,5.524,45.515,63.075,10240,base=5
0.147136,SEND,13,5.524,45.515,63.075,10240,
0.147286,SEND,14,5.524,45.515,63.075,10240,
0.184967,ACK,5,5.705,45.515,63.075,11264,base=11
0.185013,ACK,11,5.880,45.837,61.579,12288,base=12
0.185045,ACK,12,6.050,46.104,60.046,13312,base=13
0.185072,ACK,13,6.216,45.082,63.711,14336,base=14
0.187520,SEND,15,6.216,45.082,63.711,14336,
0.187769,SEND,16,6.216,45.082,63.711,14336,
0.187997,SEND,17,6.216,45.082,63.711,14336,
0.188224,SEND,18,6.216,45.082,63.711,14336,
0.188450,SEND,19,6.216,45.082,63.711,14336,
0.203415,STATS,-1,6.216,45.082,63.711,14336,base=14 next=20 inflight=6
0.211077,TIMEOUT,14,5.525,45.082,127.421,14336,
0.211358,RETX,14,5.525,45.082,127.421,14336,retx#1
0.233824,ACK,15,5.706,45.231,60.391,15360,base=14
0.240557,ACK,16,5.881,46.172,65.068,16384,base=14
0.240670,ACK,17,6.051,46.983,67.643,17408,base=14
0.241182,RETX,14,6.051,46.983,67.643,17408,retx#2
0.241596,SEND,20,6.051,46.983,67.643,17408,
0.241979,SEND,21,6.051,46.983,67.643,17408,
0.242341,SEND,22,6.051,46.983,67.643,17408,
0.242500,ACK,18,6.216,47.892,70.664,18432,base=14
0.242579,ACK,19,6.377,48.671,71.977,19456,base=14
0.245226,SEND,23,6.377,48.671,71.977,19456,
0.245502,SEND,24,6.377,48.671,71.977,19456,
0.264575,ACK,14,6.534,48.671,71.977,20480,base=20
0.266136,SEND,25,6.534,48.671,71.977,20480,
0.286650,DUPACK,14,6.534,,,20480,
0.288606,ACK,20,6.687,48.459,67.636,21504,base=21
0.289247,SEND,26,6.687,48.459,67.636,21504,
0.291812,ACK,21,6.837,48.630,64.385,22528,base=22
0.291998,ACK,22,6.983,48.757,61.588,23552,base=23
0.292076,ACK,23,7.126,48.517,60.057,24576,base=24
0.292174,ACK,24,7.267,48.285,58.797,25600,base=25
