t,event,seq,cwnd,srtt_ms,rto_ms,bytes_acked,info
0.639442,BUFFER,0,,,,0,held=1
0.639464,DELIVER,0,,,,1024,
0.639608,BUFFER,1,,,,1024,held=1
0.639615,DELIVER,1,,,,2048,
0.639730,BUFFER,2,,,,2048,held=1
0.639734,DELIVER,2,,,,3072,
0.639847,BUFFER,3,,,,3072,held=1
0.639850,DELIVER,3,,,,4096,
0.693479,BUFFER,5,,,,4096,held=1
0.693499,NAK,4,,,,4096,
0.693628,BUFFER,6,,,,4096,held=2
0.693753,BUFFER,7,,,,4096,held=3
0.735377,BUFFER,4,,,,4096,held=4
0.735387,DELIVER,4,,,,5120,
0.735391,DELIVER,5,,,,6144,
0.735395,DELIVER,6,,,,7168,
0.735399,DELIVER,7,,,,8192,
0.743314,DUP,4,,,,8192,
0.743531,BUFFER,8,,,,8192,held=1
0.743539,DELIVER,8,,,,9216,
0.743730,BUFFER,9,,,,9216,held=1
0.743735,DELIVER,9,,,,10240,
0.743944,BUFFER,10,,,,10240,held=1
0.743950,DELIVER,10,,,,11264,
0.789448,BUFFER,11,,,,11264,held=1
0.789468,DELIVER,11,,,,12288,
0.789720,BUFFER,12,,,,12288,held=1
0.789730,DELIVER,12,,,,13312,
0.789987,BUFFER,13,,,,13312,held=1
0.789998,DELIVER,13,,,,14336,
0.790270,BUFFER,14,,,,14336,held=1
0.790278,DELIVER,14,,,,15360,
0.813304,DUP,10,,,,15360,
0.841180,DUP,10,,,,15360,
0.841725,BUFFER,15,,,,15360,held=1
0.841750,DELIVER,15,,,,16384,
0.842261,BUFFER,16,,,,16384,held=1
0.842311,DELIVER,16,,,,17408,
0.842763,BUFFER,17,,,,17408,held=1
0.842778,DELIVER,17,,,,18432,
0.843193,BUFFER,18,,,,18432,held=1
0.843207,DELIVER,18,,,,19456,
0.869362,BUFFER,19,,,,19456,held=1
0.869394,DELIVER,19,,,,20480,
0.888607,BUFFER,20,,,,20480,held=1
0.888644,DELIVER,20,,,,21504,
0.889166,BUFFER,21,,,,21504,held=1
0.889187,DELIVER,21,,,,22528,
0.894506,BUFFER,22,,,,22528,held=1
0.894536,DELIVER,22,,,,23552,
0.895047,BUFFER,23,,,,23552,held=1
0.895067,DELIVER,23,,,,24576,
0.909366,DUP,17,,,,24576,
0.930939,DUP,17,,,,24576,
0.934588,BUFFER,24,,,,24576,held=1
0.934614,DELIVER,24,,,,25600,
0.935108,BUFFER,25,,,,25600,held=1
0.935130,DELIVER,25,,,,26624,
0.941536,BUFFER,26,,,,26624,held=1
0.941561,DELIVER,26,,,,27648,
0.942113,BUFFER,27,,,,27648,held=1
0.942131,DELIVER,27,,,,28672,
0.949391,BUFFER,28,,,,28672,held=1
0.949413,DELIVER,28,,,,29696,
0.951027,BUFFER,29,,,,29696,held=1
0.951045,DELIVER,29,,,,30720,
0.980813,BUFFER,30,,,,30720,held=1
0.980845,DELIVER,30,,,,31744,
0.981169,BUFFER,31,,,,31744,held=1
0.981182,DELIVER,31,,,,32768,
0.981465,BUFFER,32,,,,32768,held=1
0.981507,DELIVER,32,,,,33792,
0.981782,BUFFER,33,,,,33792,held=1
0.981791,DELIVER,33,,,,34816,
0.982058,BUFFER,34,,,,34816,held=1
0.982067,DELIVER,34,,,,35840,
0.986961,BUFFER,35,,,,35840,held=1
0.986976,DELIVER,35,,,,36864,
0.987775,BUFFER,36,,,,36864,held=1
0.987784,DELIVER,36,,,,37888,
1.023635,BUFFER,37,,,,37888,held=1
1.023673,DELIVER,37,,,,38912,
1.033042,BUFFER,38,,,,38912,held=1
1.033085,DELIVER,38,,,,39936,
1.033593,BUFFER,39,,,,39936,held=1
1.033614,DELIVER,39,,,,40960,
1.034084,BUFFER,40,,,,40960,held=1
1.034100,DELIVER,40,,,,41984,
1.034611,BUFFER,41,,,,41984,held=1
1.034630,DELIVER,41,,,,43008,
1.035101,BUFFER,42,,,,43008,held=1
1.035117,DELIVER,42,,,,44032,
1.035634,BUFFER,43,,,,44032,held=1
1.035656,DELIVER,43,,,,45056,
1.036661,BUFFER,44,,,,45056,held=1
1.036672,DELIVER,44,,,,46080,
1.057486,BUFFER,45,,,,46080,held=1
1.057523,DELIVER,45,,,,47104,
1.077885,BUFFER,46,,,,47104,held=1
1.077921,DELIVER,46,,,,48128,
1.087089,BUFFER,47,,,,48128,held=1
1.087129,DELIVER,47,,,,49152,
1.087420,BUFFER,48,,,,49152,held=1
1.087463,DELIVER,48,,,,50176,
1.087678,BUFFER,49,,,,50176,held=1
1.087685,DELIVER,49,,,,51200,
1.087881,BUFFER,50,,,,51200,held=1
1.087888,DELIVER,50,,,,52224,
1.088114,BUFFER,51,,,,52224,held=1
1.088123,DELIVER,51,,,,53248,
1.088344,BUFFER,52,,,,53248,held=1
1.088351,DELIVER,52,,,,54272,
1.088649,BUFFER,53,,,,54272,held=1
1.088658,DELIVER,53,,,,55296,
1.101548,BUFFER,54,,,,55296,held=1
1.101576,DELIVER,54,,,,56320,
1.123844,BUFFER,55,,,,56320,held=1
1.123857,DELIVER,55,,,,57344,
1.130127,BUFFER,56,,,,57344,held=1
1.130149,DELIVER,56,,,,58368,
1.130451,BUFFER,57,,,,58368,held=1
1.130463,DELIVER,57,,,,59392,
1.130730,BUFFER,58,,,,59392,held=1
1.130739,DELIVER,58,,,,60416,
1.140341,BUFFER,59,,,,60416,held=1
1.140361,DELIVER,59,,,,61440,
1.143271,BUFFER,60,,,,61440,held=1
1.143288,DELIVER,60,,,,62464,
1.143540,BUFFER,61,,,,62464,held=1
1.143568,DELIVER,61,,,,63488,
1.143897,BUFFER,62,,,,63488,held=1
1.143908,DELIVER,62,,,,64512,
1.144134,BUFFER,63,,,,64512,held=1
1.144142,DELIVER,63,,,,65536,
1.144341,BUFFER,64,,,,65536,held=1
1.144376,DELIVER,64,,,,66560,
1.170274,BUFFER,65,,,,66560,held=1
1.170299,DELIVER,65,,,,67584,
1.179133,BUFFER,66,,,,67584,held=1
1.179153,DELIVER,66,,,,68608,
1.179440,BUFFER,67,,,,68608,held=1
1.179449,DELIVER,67,,,,69632,
1.179691,BUFFER,68,,,,69632,held=1
1.179700,DELIVER,68,,,,70656,
1.195024,BUFFER,69,,,,70656,held=1
1.195065,DELIVER,69,,,,71680,
1.195472,BUFFER,71,,,,71680,held=1
1.195502,NAK,70,,,,71680,
1.195904,BUFFER,72,,,,71680,held=2
1.196262,BUFFER,73,,,,71680,held=3
1.196608,BUFFER,74,,,,71680,held=4
1.196936,BUFFER,75,,,,71680,held=5
1.210484,BUFFER,76,,,,71680,held=6
1.220783,BUFFER,77,,,,71680,held=7
1.221058,BUFFER,78,,,,71680,held=8
1.225168,BUFFER,79,,,,71680,held=9
1.243243,BUFFER,80,,,,71680,held=10
1.247464,DUP,69,,,,71680,
1.247491,NAK,70,,,,71680,
1.247724,BUFFER,81,,,,71680,held=11
1.247925,BUFFER,82,,,,71680,held=12
1.249977,BUFFER,70,,,,71680,held=13
1.249991,DELIVER,70,,,,72704,
1.249997,DELIVER,71,,,,73728,
1.250002,DELIVER,72,,,,74752,
1.250008,DELIVER,73,,,,75776,
1.250012,DELIVER,74,,,,76800,
1.250016,DELIVER,75,,,,77824,
1.250021,DELIVER,76,,,,78848,
1.250025,DELIVER,77,,,,79872,
1.250030,DELIVER,78,,,,80896,
1.250034,DELIVER,79,,,,81920,
1.250078,DELIVER,80,,,,82944,
1.250083,DELIVER,81,,,,83968,
1.250088,DELIVER,82,,,,84992,
1.260688,BUFFER,83,,,,84992,held=1
1.260711,DELIVER,83,,,,86016,
1.265572,DUP,71,,,,86016,
1.270844,BUFFER,84,,,,86016,held=1
1.270864,DELIVER,84,,,,87040,
1.271206,DUP,76,,,,87040,
1.288010,BUFFER,85,,,,87040,held=1
1.288052,DELIVER,85,,,,88064,
1.288512,BUFFER,86,,,,88064,held=1
1.288527,DELIVER,86,,,,89088,
1.292850,BUFFER,87,,,,89088,held=1
1.292878,DELIVER,87,,,,90112,
1.293405,DUP,70,,,,90112,
1.293882,DUP,78,,,,90112,
1.294455,BUFFER,88,,,,90112,held=1
1.294474,DELIVER,88,,,,91136,
1.294955,BUFFER,89,,,,91136,held=1
1.294975,DELIVER,89,,,,92160,
1.296137,BUFFER,90,,,,92160,held=1
1.296151,DELIVER,90,,,,93184,
1.312820,BUFFER,91,,,,93184,held=1
1.312863,DELIVER,91,,,,94208,
1.313324,DUP,71,,,,94208,
1.320885,BUFFER,92,,,,94208,held=1
1.320910,DELIVER,92,,,,95232,
1.322020,BUFFER,93,,,,95232,held=1
1.322036,DELIVER,93,,,,96256,
1.334802,BUFFER,94,,,,96256,held=1
1.334830,DELIVER,94,,,,97280,
1.335195,BUFFER,95,,,,97280,held=1
1.335205,DELIVER,95,,,,98304,
1.335491,BUFFER,96,,,,98304,held=1
1.335530,DELIVER,96,,,,99328,
1.346905,BUFFER,97,,,,99328,held=1
1.346923,DELIVER,97,,,,100352,
1.347156,BUFFER,98,,,,100352,held=1
1.347164,DELIVER,98,,,,101376,
1.348098,BUFFER,99,,,,101376,held=1
1.348111,DELIVER,99,,,,102400,
1.348382,BUFFER,100,,,,102400,held=1
1.348390,DELIVER,100,,,,103424,
1.351313,DUP,90,,,,103424,
1.362089,BUFFER,101,,,,103424,held=1
1.362116,DELIVER,101,,,,104448,
1.362421,BUFFER,102,,,,104448,held=1
1.362433,DELIVER,102,,,,105472,
1.373638,BUFFER,103,,,,105472,held=1
1.373657,DELIVER,103,,,,106496,
1.373936,BUFFER,104,,,,106496,held=1
1.373946,DELIVER,104,,,,107520,
1.374219,DUP,90,,,,107520,
1.374463,BUFFER,105,,,,107520,held=1
1.374472,DELIVER,105,,,,108544,
1.382213,BUFFER,106,,,,108544,held=1
1.382233,DELIVER,106,,,,109568,
1.391820,BUFFER,108,,,,109568,held=1
1.391866,NAK,107,,,,109568,
1.392345,BUFFER,109,,,,109568,held=2
1.398880,DUP,97,,,,109568,
1.405770,BUFFER,110,,,,109568,held=3
1.406126,DUP,98,,,,109568,
1.406475,BUFFER,111,,,,109568,held=4
1.420094,DUP,97,,,,109568,
1.428172,BUFFER,112,,,,109568,held=5
1.429178,BUFFER,113,,,,109568,held=6
1.429670,BUFFER,114,,,,109568,held=7
1.430153,BUFFER,115,,,,109568,held=8
1.430519,BUFFER,116,,,,109568,held=9
1.443069,BUFFER,107,,,,109568,held=10
1.443116,DELIVER,107,,,,110592,
1.443129,DELIVER,108,,,,111616,
1.443139,DELIVER,109,,,,112640,
1.443149,DELIVER,110,,,,113664,
1.443159,DELIVER,111,,,,114688,
1.443197,DELIVER,112,,,,115712,
1.443207,DELIVER,113,,,,116736,
1.443216,DELIVER,114,,,,117760,
1.443225,DELIVER,115,,,,118784,
1.443236,DELIVER,116,,,,119808,
1.443747,BUFFER,117,,,,119808,held=1
1.443768,DELIVER,117,,,,120832,
1.444407,BUFFER,118,,,,120832,held=1
1.444419,DELIVER,118,,,,121856,
1.444784,BUFFER,119,,,,121856,held=1
1.444795,DELIVER,119,,,,122880,
1.447451,BUFFER,120,,,,122880,held=1
1.447467,DELIVER,120,,,,123904,
1.447802,BUFFER,122,,,,123904,held=1
1.447830,NAK,121,,,,123904,
1.472052,BUFFER,123,,,,123904,held=2
1.472559,DUP,107,,,,123904,
1.473892,BUFFER,124,,,,123904,held=3
1.474411,BUFFER,125,,,,123904,held=4
1.477948,BUFFER,126,,,,123904,held=5
1.488741,BUFFER,127,,,,123904,held=6
1.489273,BUFFER,128,,,,123904,held=7
1.489782,BUFFER,129,,,,123904,held=8
1.495087,BUFFER,130,,,,123904,held=9
1.497395,BUFFER,131,,,,123904,held=10
1.497890,BUFFER,132,,,,123904,held=11
1.498365,BUFFER,133,,,,123904,held=12
1.498405,NAK,121,,,,123904,
1.500802,BUFFER,121,,,,123904,held=13
1.500826,DELIVER,121,,,,124928,
1.500839,DELIVER,122,,,,125952,
1.500850,DELIVER,123,,,,126976,
1.500861,DELIVER,124,,,,128000,
1.500871,DELIVER,125,,,,129024,
1.500880,DELIVER,126,,,,130048,
1.500890,DELIVER,127,,,,131072,
1.501227,DELIVER,128,,,,132096,
1.501242,DELIVER,129,,,,133120,
1.501251,DELIVER,130,,,,134144,
1.501261,DELIVER,131,,,,135168,
