t,event,seq,cwnd,srtt_ms,rto_ms,bytes_acked,info
0.646840,BUFFER,0,,,,0,held=1
0.646866,DELIVER,0,,,,1024,
0.646990,BUFFER,1,,,,1024,held=1
0.646996,DELIVER,1,,,,2048,
0.647103,BUFFER,2,,,,2048,held=1
0.647106,DELIVER,2,,,,3072,
0.647207,BUFFER,3,,,,3072,held=1
0.647210,DELIVER,3,,,,4096,
0.699518,BUFFER,4,,,,4096,held=1
0.699524,DELIVER,4,,,,5120,
0.701283,BUFFER,5,,,,5120,held=1
0.701288,DELIVER,5,,,,6144,
0.701423,BUFFER,6,,,,6144,held=1
0.701426,DELIVER,6,,,,7168,
0.701558,BUFFER,7,,,,7168,held=1
0.701562,DELIVER,7,,,,8192,
0.748452,BUFFER,8,,,,8192,held=1
0.748459,DELIVER,8,,,,9216,
0.748673,BUFFER,9,,,,9216,held=1
0.748685,DELIVER,9,,,,10240,
0.748878,BUFFER,10,,,,10240,held=1
0.748884,DELIVER,10,,,,11264,
0.749084,BUFFER,11,,,,11264,held=1
0.749091,DELIVER,11,,,,12288,
0.751413,BUFFER,12,,,,12288,held=1
0.751419,DELIVER,12,,,,13312,
0.788775,BUFFER,13,,,,13312,held=1
0.788789,DELIVER,13,,,,14336,
0.789331,BUFFER,14,,,,14336,held=1
0.789340,DELIVER,14,,,,15360,
0.789718,BUFFER,15,,,,15360,held=1
0.789727,DELIVER,15,,,,16384,
0.798164,BUFFER,16,,,,16384,held=1
0.798223,DELIVER,16,,,,17408,
0.799823,BUFFER,18,,,,17408,held=1
0.799863,NAK,17,,,,17408,
0.825942,BUFFER,19,,,,17408,held=2
0.830283,BUFFER,20,,,,17408,held=3
0.850097,DUP,14,,,,17408,
0.850836,BUFFER,21,,,,17408,held=4
0.850881,NAK,17,,,,17408,
0.851997,BUFFER,22,,,,17408,held=5
0.872221,BUFFER,23,,,,17408,held=6
0.872469,BUFFER,24,,,,17408,held=7
0.902568,BUFFER,25,,,,17408,held=8
0.902623,NAK,17,,,,17408,
0.903139,BUFFER,26,,,,17408,held=9
0.903604,BUFFER,17,,,,17408,held=10
0.903624,DELIVER,17,,,,18432,
0.903632,DELIVER,18,,,,19456,
0.903638,DELIVER,19,,,,20480,
0.903644,DELIVER,20,,,,21504,
0.903653,DELIVER,21,,,,22528,
0.903658,DELIVER,22,,,,23552,
0.903664,DELIVER,23,,,,24576,
0.903669,DELIVER,24,,,,25600,
0.903674,DELIVER,25,,,,26624,
0.903679,DELIVER,26,,,,27648,
0.903931,BUFFER,28,,,,27648,held=1
0.903950,NAK,27,,,,27648,
0.927799,DUP,17,,,,27648,
0.928141,BUFFER,29,,,,27648,held=2
0.928416,BUFFER,30,,,,27648,held=3
0.956078,BUFFER,31,,,,27648,held=4
0.956159,NAK,27,,,,27648,
0.956492,DUP,17,,,,27648,
0.956845,BUFFER,27,,,,27648,held=5
0.956865,DELIVER,27,,,,28672,
0.956875,DELIVER,28,,,,29696,
0.956882,DELIVER,29,,,,30720,
0.956890,DELIVER,30,,,,31744,
0.956896,DELIVER,31,,,,32768,
0.957223,BUFFER,32,,,,32768,held=1
0.957250,DELIVER,32,,,,33792,
0.957586,BUFFER,33,,,,33792,held=1
0.957603,DELIVER,33,,,,34816,
